date,mean_temp_f,max_temp_f,source_of_day
2025-03-12,75.9,109.0,enphase_xlsx
2025-03-13,79.9,108.0,enphase_xlsx
2025-03-14,80.1,112.0,enphase_xlsx
2025-03-15,72.9,98.0,enphase_xlsx
2025-03-16,69.2,101.0,enphase_xlsx
2025-03-17,70.2,96.0,enphase_xlsx
2025-03-18,72.5,94.0,enphase_xlsx
2025-03-19,72.2,97.0,enphase_xlsx
2025-03-20,60.5,85.0,enphase_xlsx
2025-03-21,64.8,88.0,enphase_xlsx
2025-03-22,71.6,95.0,enphase_xlsx
2025-03-23,74.0,90.0,enphase_xlsx
2025-03-24,74.4,101.0,enphase_xlsx
2025-03-25,79.7,106.0,enphase_xlsx
2025-03-26,72.2,87.0,enphase_xlsx
2025-03-27,64.2,67.0,enphase_xlsx
2025-03-28,66.0,73.0,enphase_xlsx
2025-03-29,76.3,99.0,enphase_xlsx
2025-03-30,74.2,83.0,enphase_xlsx
2025-03-31,73.3,92.0,enphase_xlsx
2025-04-01,73.1,84.0,enphase_xlsx
2025-04-02,77.4,88.0,enphase_xlsx
2025-04-03,80.0,96.0,enphase_xlsx
2025-04-04,74.8,91.0,enphase_xlsx
2025-04-05,58.9,65.0,enphase_xlsx
2025-04-06,51.8,64.0,enphase_xlsx
2025-04-07,60.2,93.0,enphase_xlsx
2025-04-08,67.4,96.0,enphase_xlsx
2025-04-09,72.8,98.0,enphase_xlsx
2025-04-10,78.5,106.0,enphase_xlsx
2025-04-11,77.0,101.0,enphase_xlsx
2025-04-12,77.9,101.0,enphase_xlsx
2025-04-13,78.4,101.0,enphase_xlsx
2025-04-14,78.8,104.0,enphase_xlsx
2025-04-15,73.7,81.0,enphase_xlsx
2025-04-16,74.3,92.0,enphase_xlsx
2025-04-17,76.3,96.0,enphase_xlsx
2025-04-18,78.9,99.0,enphase_xlsx
2025-04-19,75.0,84.0,enphase_xlsx
2025-04-20,76.1,101.0,enphase_xlsx
2025-04-21,75.8,99.0,enphase_xlsx
2025-04-22,78.1,93.0,enphase_xlsx
2025-04-23,76.3,96.0,enphase_xlsx
2025-04-24,75.3,92.0,enphase_xlsx
2025-04-25,75.3,89.0,enphase_xlsx
2025-04-26,77.7,95.0,enphase_xlsx
2025-04-27,77.4,88.0,enphase_xlsx
2025-04-28,77.5,86.0,enphase_xlsx
2025-04-29,78.5,93.0,enphase_xlsx
2025-04-30,79.5,91.0,enphase_xlsx
2025-05-01,81.6,102.0,enphase_xlsx
2025-05-02,71.9,88.0,enphase_xlsx
2025-05-03,72.1,90.0,enphase_xlsx
2025-05-04,72.2,91.0,enphase_xlsx
2025-05-05,65.9,76.0,enphase_xlsx
2025-05-06,70.8,85.0,enphase_xlsx
2025-05-07,74.2,90.0,enphase_xlsx
2025-05-08,74.9,94.0,enphase_xlsx
2025-05-09,75.0,92.0,enphase_xlsx
2025-05-10,73.6,88.0,enphase_xlsx
2025-05-11,75.8,99.0,enphase_xlsx
2025-05-12,79.0,106.0,enphase_xlsx
2025-05-13,85.1,101.0,enphase_xlsx
2025-05-14,86.8,105.0,enphase_xlsx
2025-05-15,86.0,104.0,enphase_xlsx
2025-05-16,87.2,104.0,enphase_xlsx
2025-05-17,87.5,99.0,enphase_xlsx
2025-05-18,84.3,98.0,enphase_xlsx
2025-05-19,81.9,89.0,enphase_xlsx
2025-05-20,87.1,110.0,enphase_xlsx
2025-05-21,82.9,102.0,enphase_xlsx
2025-05-22,86.9,108.0,enphase_xlsx
2025-05-23,84.2,104.0,enphase_xlsx
2025-05-24,87.0,105.0,enphase_xlsx
2025-05-25,85.9,100.0,enphase_xlsx
2025-05-26,78.6,90.0,enphase_xlsx
2025-05-27,80.1,105.0,enphase_xlsx
2025-05-28,79.0,98.0,enphase_xlsx
2025-05-29,80.2,96.0,enphase_xlsx
2025-05-30,76.5,88.0,enphase_xlsx
2025-05-31,80.7,95.0,enphase_xlsx
2025-06-01,86.2,102.0,enphase_xlsx
2025-06-02,84.3,96.0,enphase_xlsx
2025-06-03,83.2,94.0,enphase_xlsx
2025-06-04,82.6,95.0,enphase_xlsx
2025-06-05,85.1,103.0,enphase_xlsx
2025-06-06,86.1,103.0,enphase_xlsx
2025-06-07,87.1,104.0,enphase_xlsx
2025-06-08,87.5,106.0,enphase_xlsx
2025-06-09,85.3,103.0,enphase_xlsx
2025-06-10,82.2,98.0,enphase_xlsx
2025-06-11,78.0,89.0,enphase_xlsx
2025-06-12,75.0,85.0,enphase_xlsx
2025-06-13,82.4,96.0,enphase_xlsx
2025-06-14,85.1,98.0,enphase_xlsx
2025-06-15,80.1,100.0,enphase_xlsx
2025-06-16,83.1,102.0,enphase_xlsx
2025-06-17,84.8,101.0,enphase_xlsx
2025-06-18,85.4,95.0,enphase_xlsx
2025-06-19,86.9,97.0,enphase_xlsx
2025-06-20,86.3,97.0,enphase_xlsx
2025-06-21,85.0,95.0,enphase_xlsx
2025-06-23,85.8,96.0,enphase_xlsx
2025-06-24,84.2,96.0,enphase_xlsx
2025-06-25,82.7,98.0,enphase_xlsx
2025-06-26,84.0,106.0,enphase_xlsx
2025-06-27,86.5,104.0,enphase_xlsx
2025-06-28,86.7,99.0,enphase_xlsx
