entity_id,unique_id,platform,current_config_entry_id,target_config_entry_id,device_identifier,unique_id_stability
sensor.universal_room_automation_music_following_health,universal_room_automation_music_following_health,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,music_following_coordinator,SAFE
sensor.ura_coordinator_manager_ezinne_next_room_accuracy,universal_room_automation_person_ezinne_next_room_accuracy,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_ezinne_routine_status,universal_room_automation_person_ezinne_routine_status,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_house_next_room_accuracy,universal_room_automation_house_next_room_accuracy,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_household_routine_status,universal_room_automation_household_routine_status,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_jaya_next_room_accuracy,universal_room_automation_person_jaya_next_room_accuracy,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_jaya_routine_status,universal_room_automation_person_jaya_routine_status,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_oji_udezue_next_room_accuracy,universal_room_automation_person_oji udezue_next_room_accuracy,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_oji_udezue_routine_status,universal_room_automation_person_oji_udezue_routine_status,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_ziri_next_room_accuracy,universal_room_automation_person_ziri_next_room_accuracy,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_coordinator_manager_ziri_routine_status,universal_room_automation_person_ziri_routine_status,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,coordinator_manager,SAFE
sensor.ura_security_coordinator_outside_animals_being_tracked,universal_room_automation_exterior_animal_tracks_active,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,security_coordinator,SAFE
sensor.ura_security_coordinator_outside_open_tracks_diagnostic,universal_room_automation_exterior_open_tracks,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,security_coordinator,SAFE
sensor.ura_security_coordinator_outside_people_being_tracked,universal_room_automation_exterior_person_tracks_active,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,security_coordinator,SAFE
sensor.ura_security_coordinator_outside_unidentified_people,universal_room_automation_exterior_unidentified_persons,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,security_coordinator,SAFE
sensor.ura_security_coordinator_outside_vehicles_being_tracked,universal_room_automation_exterior_vehicle_tracks_active,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,security_coordinator,SAFE
sensor.ura_security_coordinator_perimeter_circling_zero_dispatch_24h,universal_room_automation_perimeter_circling_zero_dispatch_24h,universal_room_automation,01KAYV8P69B381KCK3516YVM76,01KJEC3FYPYAGBQKZWC94CR8GR,security_coordinator,SAFE
